"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Pastagem/Campo","Alto Piquiri","25833,24","10173","9387","69","55","283,1219512","285,3666667","2,244715447","206,6017408","-14","-6492,669664"
"Floresta Nativa","Alto Piquiri","12947,78","9387","9387","69","55","283,1219512","285,3666667","2,244715447","206,6017408","-14","-6492,669664"
"Agricultura Anual","Alto Piquiri","117000000","9505","9387","82","55","352,2107826","285,3666667","66,84411591","455,8604464","27","822732,89"
"Floresta Nativa","Alto Piquiri","12947,78","9387","9387","82","55","352,2107826","285,3666667","66,84411591","455,8604464","27","822732,89"
"Floresta Nativa","Alto Piquiri","3128412,92","10453","9391","55","60","274,4712955","264,0666667","10,40462879","630,630528","-5","-32807,38275"
"Plantios Florestais","Alto Piquiri","32678,2","9391","9391","55","60","274,4712955","264,0666667","10,40462879","630,630528","-5","-32807,38275"
"Agricultura Anual","Alto Piquiri","117000000","9505","9391","82","60","352,2107826","264,0666667","88,14411591","647,5779985","22","1255764,184"
"Plantios Florestais","Alto Piquiri","32678,2","9391","9391","82","60","352,2107826","264,0666667","88,14411591","647,5779985","22","1255764,184"
"Floresta Nativa","Alto Piquiri","3128412,92","10453","9392","55","74","274,4712955","274,6716418","0,20034633","359,8038533","19","1369,622249"
"Agricultura Anual","Alto Piquiri","47700,22","9392","9392","55","74","274,4712955","274,6716418","0,20034633","359,8038533","19","1369,622249"
"Pastagem/Campo","Alto Piquiri","1032255,83","10218","9392","69","74","284,4526144","274,6716418","9,780972588","708,3042412","-5","-34639,52183"
"Agricultura Anual","Alto Piquiri","47700,22","9392","9392","69","74","284,4526144","274,6716418","9,780972588","708,3042412","-5","-34639,52183"
"Floresta Nativa","Alto Piquiri","3128412,92","10453","9393","55","69","274,4712955","295,5375","21,06620454","894,3888333","14","263779,2934"
"Pastagem/Campo","Alto Piquiri","67671,91","9393","9393","55","69","274,4712955","295,5375","21,06620454","894,3888333","14","263779,2934"
"Agricultura Anual","Alto Piquiri","117000000","9505","9393","82","69","352,2107826","295,5375","56,67328258","675,9573018","13","498013,3492"
"Pastagem/Campo","Alto Piquiri","67671,91","9393","9393","82","69","352,2107826","295,5375","56,67328258","675,9573018","13","498013,3492"
"Floresta Nativa","Alto Piquiri","3128412,92","10453","9397","55","20","274,4712955","298,2137405","23,742445","323,7497349","-35","-269031,3596"
"Várzea","Alto Piquiri","147681,59","9397","9397","55","20","274,4712955","298,2137405","23,742445","323,7497349","-35","-269031,3596"
"Agricultura Anual","Alto Piquiri","117000000","9505","9397","82","20","352,2107826","298,2137405","53,99704212","1278,145378","62","4278996,327"
