Uso_solo_1,Uso_solo_2,Municipio_1,Municipio_2,Area_m2_1,Area_m2_2,Fid_1,Last_last,Cn_mancha_1,Cn_mancha_2,Altitude_mancha_1,Altitude_mancha_2,Dif_altitude,Comprimento,Dif_cn,Valoracao
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"25833,24","12947,78",10173,9387,69,55,"283,1219512","285,3666667","2,244715447","206,6017408",-14,"-6492,669664"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"12947,78",9505,9387,82,55,"352,2107826","285,3666667","66,84411591","455,8604464",27,"822732,89"
Floresta Nativa,Plantios Florestais,Alto Piquiri,Alto Piquiri,"3128412,92","32678,2",10453,9391,55,60,"274,4712955","264,0666667","10,40462879","630,630528",-5,"-32807,38275"
Agricultura Anual,Plantios Florestais,Alto Piquiri,Alto Piquiri,117000000,"32678,2",9505,9391,82,60,"352,2107826","264,0666667","88,14411591","647,5779985",22,"1255764,184"
Floresta Nativa,Agricultura Anual,Alto Piquiri,Alto Piquiri,"3128412,92","47700,22",10453,9392,55,74,"274,4712955","274,6716418","0,20034633","359,8038533",19,"1369,622249"
Pastagem/Campo,Agricultura Anual,Alto Piquiri,Alto Piquiri,"1032255,83","47700,22",10218,9392,69,74,"284,4526144","274,6716418","9,780972588","708,3042412",-5,"-34639,52183"
Floresta Nativa,Pastagem/Campo,Alto Piquiri,Alto Piquiri,"3128412,92","67671,91",10453,9393,55,69,"274,4712955","295,5375","21,06620454","894,3888333",14,"263779,2934"
Agricultura Anual,Pastagem/Campo,Alto Piquiri,Alto Piquiri,117000000,"67671,91",9505,9393,82,69,"352,2107826","295,5375","56,67328258","675,9573018",13,"498013,3492"
Floresta Nativa,Várzea,Alto Piquiri,Alto Piquiri,"3128412,92","147681,59",10453,9397,55,20,"274,4712955","298,2137405","23,742445","323,7497349",-35,"-269031,3596"
Agricultura Anual,Várzea,Alto Piquiri,Alto Piquiri,117000000,"147681,59",9505,9397,82,20,"352,2107826","298,2137405","53,99704212","1278,145378",62,"4278996,327"
Pastagem/Campo,Agricultura Anual,Alto Piquiri,Alto Piquiri,"232217,9","15324,54",10336,9455,52,60,"421,9893048","427,875","5,885695187","593,2261873",8,"27932,38812"
Floresta Nativa,Agricultura Anual,Alto Piquiri,Alto Piquiri,"613678,9","15324,54",9848,9455,70,60,"374,8592693","427,875","53,01573072","128,7135658",-10,"-68238,43744"
Floresta Nativa,Floresta Nativa,Alto Piquiri,Alto Piquiri,"15164,33","8409,61",10467,9497,70,70,"296,3333333",296,"0,333333333","126,3363521",0,0
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"10470,03","8409,61",9951,9497,73,70,"296,75",296,"0,75","166,1445913",3,"373,8253305"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"8409,61",9505,9497,82,70,"352,2107826",296,"56,21078258","130,8102838",12,"88235,38105"
Pastagem/Campo,Área Urbanizada,Alto Piquiri,Alto Piquiri,"102496,01","189040,22",10200,9504,52,69,"390,4767442","376,3470588","14,12968536","753,0846086",-17,"-180894,4257"
Pastagem/Campo,Área Urbanizada,Alto Piquiri,Alto Piquiri,"18003,54","189040,22",10205,9504,52,69,"357,9259259","376,3470588","18,4211329","238,3056338",17,"74627,61575"
Várzea,Área Urbanizada,Alto Piquiri,Alto Piquiri,"85430,31","189040,22",10472,9504,20,69,"354,8829787","376,3470588","21,4640801","127,4583043",49,"134052,9874"
Agricultura Anual,Área Urbanizada,Alto Piquiri,Alto Piquiri,117000000,"189040,22",9505,9504,82,69,"352,2107826","376,3470588","24,13627625","978,9309468",-13,"-307160,7209"
Agricultura Anual,Solo Exposto/Mineração,Alto Piquiri,Alto Piquiri,"1488432,92","11247,02",10101,9668,82,91,"383,1501272","387,2272727","4,077145501","410,516094",9,"15063,60461"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"11490,86","39708,91",10170,9669,69,55,"259,7333333","257,7358491","1,997484276","498,8248253",14,"13949,52643"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"3426451,62","39708,91",363322,9669,20,55,"268,2680965","257,7358491","10,53224746","1527,924015",-35,"-563236,5838"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"32355,6","22703,4",10182,9670,69,55,"264,2926829","275,5","11,20731707","212,7443754",-14,"-33380,11139"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"22703,4",9505,9670,82,55,"352,2107826","275,5","76,71078257","501,1751663",27,"1038029,559"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"15532,93","159720,14",10179,9671,69,55,"304,5454545","296,6956522","7,849802371","110,1229254",14,"12102,20481"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"37867,07","159720,14",10177,9671,69,55,"267,6976744","296,6956522","28,99797776","511,602211",-14,"-207696,0135"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"92013,85","159720,14",10175,9671,69,55,"329,4044944","296,6956522","32,70884221","535,6197669",14,"245273,0342"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"159720,14",9505,9671,82,55,"352,2107826","296,6956522","55,5151304","2830,655454",27,"4242893,579"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1032255,83","8710,5",10218,9672,69,55,"284,4526144",282,"2,452614379","283,5334238",14,"9735,57413"
Floresta Nativa,Floresta Nativa,Alto Piquiri,Alto Piquiri,"15164,33","11685,53",10467,9673,70,70,"296,3333333","298,4666667","2,133333334","151,4098206",0,0
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"40210,99","11685,53",9959,9673,73,70,"303,0652174","298,4666667","4,598550724","120,8061573",3,"1666,599726"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"11685,53",9505,9673,82,70,"352,2107826","298,4666667","53,74411591","554,4183036",12,"357560,6589"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"120811,05",9505,9674,82,30,"352,2107826","334,7421384","17,46864421","612,0925641",52,"556006,2158"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"203891,99","60905,27",10219,9675,69,30,"362,6621622","391,8275862","29,16542405","175,5534345",-39,"-199683,5241"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"60905,27",9505,9675,82,30,"352,2107826","391,8275862","39,61680363","834,1833321",-52,"-1718479,218"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"82346,86","74376,74",9950,9676,60,55,"259,5309735","262,7722772","3,241303777","107,0922585",-5,"-1735,59271"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"3426451,62","74376,74",363322,9676,20,55,"268,2680965","262,7722772","5,495819287","593,7244602",-35,"-114205,0819"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1032255,83","74376,74",10218,9676,69,55,"284,4526144","262,7722772","21,68033715","1242,546937",14,"377143,7113"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1032255,83","10755,2",10218,9678,69,55,"284,4526144","289,25","4,797385621","539,859611",-14,"-36258,80629"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"46960,41",9505,9679,82,30,"352,2107826","392,5555556","40,34477298","1303,657548",-52,"-2734979,926"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"115406,07","25236,81",10461,9681,20,55,"287,1538462","290,9444444","3,79059829","833,8067763",35,"110621,9289"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"624510,5","25236,81",10224,9681,69,55,"328,384106","290,9444444","37,43966152","453,6885215",14,"237803,2255"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"25236,81",9505,9681,82,55,"352,2107826","290,9444444","61,26633813","124,2803459",27,"205583,4458"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"70531,76","46376,19",10187,9682,69,55,"294,1181818","319,2786885","25,16050671","110,6647002",-14,"-38981,31903"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"46376,19",9505,9682,82,55,"352,2107826","319,2786885","32,93209405","1359,775104",27,"1209066,524"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"19182,44","31873,8",10188,9683,52,30,"325,1111111","333,75","8,638888889","199,7981887",-22,"-37972,75574"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"31873,8",9505,9683,82,30,"352,2107826","333,75","18,46078258","717,1300008",52,"688416,6132"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"111990,33",9505,9684,82,55,"352,2107826","312,508982","39,70180054","3551,864802",27,"3807416,554"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"99733,67",9505,9687,82,55,"352,2107826","299,0327869","53,17799569","284,1284526",27,"407953,3039"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"59293,07",9505,9688,82,30,"352,2107826",376,"23,78921743","999,8131768",-52,"-1236808,198"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"70531,76","71057,33",10187,9689,69,55,"294,1181818","291,3529412","2,765240642","1448,027027",14,"56058,00459"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"71057,33",9505,9689,82,55,"352,2107826","291,3529412","60,8578414","185,5342001",27,"304862,695"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"54136,87",9505,9690,82,55,"352,2107826","301,0615385","51,14924411","187,8218557",27,"259387,5406"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"19009,31",9505,9691,82,55,"352,2107826","371,4705882","19,25980566","542,3170832",-27,"-282012,884"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1032255,83","29652,88",10218,9692,69,55,"284,4526144","272,2857143","12,16690009","868,9094884",14,"148007,0891"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"82346,86","29652,88",9950,9692,60,55,"259,5309735","272,2857143","12,75474084","69,11440901",-5,"-4407,681874"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"817294,97",9505,9693,82,70,"352,2107826","320,6715758","31,53920673","7737,824958",12,"2928538,332"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"3426451,62","753092,98",363322,9694,20,55,"268,2680965","288,3673724","20,09927584","4279,717182",35,"3010672,565"
Agricultura Anual,Floresta Nativa,Mariluz,Alto Piquiri,102600000,"753092,98",364078,9694,82,55,"378,4341431","288,3673724","90,06677071","281,4479796",27,"684425,9875"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"179801,84",9505,9699,82,70,"352,2107826","375,9226519","23,71186936","2141,1927",-12,"-609260,179"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"89272,23",9505,9701,82,70,"352,2107826","329,9038462","22,30693642","1268,345668",12,"339514,8741"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"103646,76",9505,9703,82,70,"352,2107826","374,7610619","22,55027937","1512,80162",-12,"-409369,19"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"33235,63",9505,9704,82,30,"352,2107826","406,1860465","53,97526394","719,965872",-52,"-2020738,094"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"46565,84",9505,9706,82,70,"352,2107826","336,9","15,31078257","2240,758752",12,"411693,2407"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"106672,93",9505,9707,82,30,"352,2107826","400,6373626","48,42658006","1938,083503",-52,"-4880447,309"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"21623,74","42368,39",9953,9708,60,55,"296,962963","298,2","1,237037037","490,1395156",-5,"-3031,60367"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"42368,39",9505,9708,82,55,"352,2107826","298,2","54,01078258","1426,660051",27,"2080485,697"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"1845941,98",9505,9710,82,55,"352,2107826","337,9273911","14,28339149","29490,54554",27,"11373075,19"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"1333415,99",9505,9711,82,55,"352,2107826","370,5298507","18,31906817","8052,310687",-27,"-3982792,367"
Plantios Florestais,Floresta Nativa,Alto Piquiri,Alto Piquiri,"40210,99","220333,95",9959,9712,73,55,"303,0652174","304,7212121","1,65599473","16,32036386",-18,"-486,4758578"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"309538,77","220333,95",10474,9712,20,55,"306,5066079","304,7212121","1,785395809","2662,243735",-35,"-166360,5582"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"220333,95",9505,9712,82,55,"352,2107826","304,7212121","47,48957045","2060,121691",27,"2641525,943"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"10744,38","19638,65",10229,9719,79,70,"345,7272727","345,78125","0,053977273","334,2520595",-9,"-162,378132"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"19638,65",9505,9719,82,70,"352,2107826","345,78125","6,429532575","224,7745485",12,"17342,34338"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"29427,07","19638,65",10228,9719,79,70,355,"345,78125","9,21875","237,9015761",9,"19738,3964"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"16626,11",9505,9720,82,70,"352,2107826","389,7352941","37,52451154","870,7394432",-12,"-392088,8675"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"118623,51","19007,79",10258,9721,79,70,"385,775","391,6666667","5,891666667","217,8367802",-9,"-11550,79527"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"19007,79",9505,9721,82,70,"352,2107826","391,6666667","39,45588409","548,9717623",-12,"-259921,9947"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"384744,31","3043851,06",363352,9723,20,55,"295,669708","313,7146367","18,04492869","4862,950572",35,"3071305,869"
Agricultura Anual,Floresta Nativa,Mariluz,Alto Piquiri,102600000,"3043851,06",364078,9723,82,55,"378,4341431","313,7146367","64,71950635","806,2034174",27,"1408781,354"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"11982,34","83583,02",10255,9724,52,70,"367,4230769","367,3421053","0,08097166","487,053863",-18,"-709,8760763"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"83583,02",9505,9724,82,70,"352,2107826","367,3421053","15,13132269","154,5587839",-12,"-28064,14601"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"12483,18","83583,02",10259,9724,79,70,"352,1724138","367,3421053","15,16969147","150,6465483",-9,"-20567,35493"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","83583,02",10595,9724,82,70,"384,7726229","367,3421053","17,43051759","225,777809",12,"47225,08887"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2059587,46","83583,02",10316,9724,79,70,"398,8837405","367,3421053","31,54163526","979,3777301",9,"278020,5763"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"97831,37","250018,15",10233,9725,52,70,"299,641791","322,5426829","22,90089188","923,8625591",18,"380830,9784"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"250018,15",9505,9725,82,70,"352,2107826","322,5426829","29,66809965","3143,631704",12,"1119186,944"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"354419,42",9505,9728,82,70,"352,2107826","343,6957746","8,515007927","4324,647415",12,"441892,8842"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","354419,42",10595,9728,82,70,"384,7726229","343,6957746","41,07684821","1258,865104",12,"620522,5293"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"832043,65",9505,9730,82,30,"352,2107826","423,3052039","-71,09442136","944,860999",-52,"3493065,992"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"283968,95","832043,65",10261,9730,79,30,"413,0656566","423,3052039","10,23954737","72,41280822",-49,"-36332,24462"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20381,61","832043,65",10593,9730,60,30,"411,4516129","423,3052039","11,85359104","151,3511179",-30,"-53821,62763"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"13060,67","832043,65",10256,9730,52,30,"404,1785714","423,3052039","19,12663251","64,34186856",-22,"-27074,15205"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"2059587,46","832043,65",10316,9730,79,30,"398,8837405","423,3052039","24,42146342","863,7555855",-49,"-1033614,596"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","832043,65",10595,9730,82,30,"384,7726229","423,3052039","38,53258108","2626,706544",-52,"-5263116,709"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"12964,43","29329,99",10236,9732,79,70,"322,75","325,6052632","2,855263158","235,9487914",-9,"-6063,263022"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1457692,49","29329,99",10497,9732,20,70,"320,5253036","325,6052632","5,079959514","727,1542963",50,"184695,7193"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"29329,99",9505,9732,82,70,"352,2107826","325,6052632","26,60551942","786,6562785",12,"251152,7867"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"76859,93",9505,9734,82,70,"352,2107826","356,3297872","4,119004659","59,59471321",-12,"-2945,650816"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","76859,93",10595,9734,82,70,"384,7726229","356,3297872","28,44283562","121,0363921",12,"41311,41847"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"54746,25","10501,57",10245,9738,79,70,"373,984375","377,047619","3,063244048","248,0406387",-9,"-6838,281091"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","10501,57",10595,9738,82,70,"384,7726229","377,047619","7,725003807","407,6001537",12,"37784,55287"
Várzea,Floresta Nativa,Mariluz,Alto Piquiri,"384744,31","1952777,44",363352,9740,20,70,"295,669708","311,048522","15,378814","6598,696047",50,"5074005,958"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,117000000,"1952777,44",9505,9740,82,70,"352,2107826","311,048522","41,16226055","8015,190189",12,"3959080,162"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"32070937,64","1952777,44",9941,9740,82,70,"363,9671945","311,048522","52,91867249","7317,305779",12,"4646665,296"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"35272412,57","1952777,44",10595,9740,82,70,"384,7726229","311,048522","73,72410082","1904,919611",12,"1685261,825"
Várzea,Floresta Nativa,Alto Piquiri,Alto Piquiri,"1457692,49","55782,74",10497,9741,20,70,"320,5253036","316,5890411","3,936262548","1590,804767",-50,"-313091,2613"
Pastagem/Campo,Floresta Nativa,Alto Piquiri,Alto Piquiri,"36242,05","55782,74",10241,9741,79,70,"323,6666667","316,5890411","7,077625571","195,9417299",9,"12481,21978"
Agricultura Anual,Floresta Nativa,Alto Piquiri,Alto Piquiri,"20209058,41","55782,74",10098,9741,82,70,"367,7258836","316,5890411","51,13684252","847,8382993",12,"520269,2831"
